Date,EUR/JPY,USD/NOK,USD/ZAR,RUB/USD,NOK/SEK,NZD/JPY,AUD/NZD,EUR/USD,GBP/JPY,GBP/CHF,GBP/USD,USD/AUD
03/01/2000,104.29,7.8965,6.1288,0.0365,1.0596,53.35,1.2533,1.0397,166.3,2.5617,1.637,0.6621
04/01/2000,106.48,7.9411,6.0875,0.0364,1.0543,53.72,1.2589,1.0422,169.04,2.5463,1.637,0.6561
05/01/2000,107.59,7.9359,6.065,0.0367,1.0543,54.24,1.2664,1.0439,171.25,2.5533,1.642,0.6584
06/01/2000,108.66,7.9375,6.0725,0.0364,1.0543,54.1,1.2725,1.0419,173.34,2.5586,1.6468,0.6557
07/01/2000,108.44,7.9831,6.0555,0.0364,1.0537,54.59,1.2645,1.0403,172.68,2.5641,1.6387,0.6561
10/01/2000,107.78,8.0117,6.081,0.0355,1.0549,54.22,1.2727,1.0375,172.02,2.5676,1.637,0.657
11/01/2000,109.65,7.9604,6.0925,0.0350,1.0547,54.81,1.2734,1.0444,174.88,2.5692,1.6485,0.6588
12/01/2000,109.25,7.9543,6.0675,0.0348,1.0557,55,1.2681,1.0431,174.58,2.5754,1.6478,0.6588
13/01/2000,108.77,7.9451,6.0615,0.0349,1.0597,55.55,1.2761,1.0372,174.67,2.5892,1.6467,0.6689
14/01/2000,107.2,7.9744,6.0725,0.0350,1.0609,55.15,1.2779,1.0257,172.87,2.6021,1.634,0.6673
18/01/2000,107.06,7.9883,6.0935,0.0350,1.059,54.98,1.2803,1.0235,173.04,2.6069,1.637,0.6656
19/01/2000,106.69,7.9878,6.113,0.0350,1.0614,54.19,1.2897,1.0236,173.27,2.6212,1.644,0.6639
20/01/2000,107.18,7.9563,6.101,0.0350,1.0613,54.12,1.2958,1.0277,174.29,2.6198,1.6545,0.6661
21/01/2000,105.69,7.9968,6.1385,0.0350,1.0635,53.58,1.2959,1.0208,172.74,2.6327,1.6494,0.6638
